strDrink,Ingredients,Measure,strInstructions
'57 Chevy with a White License Plate,"['Creme de Cacao', 'Vodka']","['1 oz white ', '1 oz ']",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir
1-900-FUK-MEUP,"['Absolut Kurant', 'Grand Marnier', 'Chambord raspberry liqueur', 'Midori melon liqueur', 'Malibu rum', 'Amaretto', 'Cranberry juice', 'Pineapple juice']","['1/2 oz ', '1/4 oz ', '1/4 oz ', '1/4 oz ', '1/4 oz ', '1/4 oz ', '1/2 oz ', '1/4 oz ']",Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.
110 in the shade,"['Lager', 'Tequila']","['16 oz ', '1.5 oz ']",Drop shooter in glass. Fill with beer
151 Florida Bushwacker,"['Malibu rum', 'Light rum', '151 proof rum', 'Dark Creme de Cacao', 'Cointreau', 'Milk', 'Coconut liqueur', 'Vanilla ice-cream']","['1/2 oz ', '1/2 oz ', '1/2 oz Bacardi ', '1 oz ', '1 oz ', '3 oz ', '1 oz ', '1 cup ']",Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.
155 Belmont,"['Dark rum', 'Light rum', 'Vodka', 'Orange juice']","['1 shot ', '2 shots ', '1 shot ', '1 shot ']",Blend with ice. Serve in a wine glass. Garnish with carrot.
24k nightmare,"['Goldschlager', 'Jägermeister', 'Rumple Minze', '151 proof rum']","['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz Bacardi ']","Add over ice,shake and pour."
252,"['151 proof rum', 'Wild Turkey']","['1/2 shot Bacardi ', '1/2 shot ']","Add both ingredients to shot glass, shoot, and get drunk quick"
3 Wise Men,"['Jack Daniels', 'Johnnie Walker', 'Jim Beam']","['1/3 oz ', '1/3 oz ', '1/3 oz ']",put them them in a glass... and slam it to tha head.
410 Gone,"['Peach Vodka', 'Coca-Cola']","['2-3 oz', nan]",
50/50,"['Vanilla vodka', 'Grand Marnier', 'Orange juice']","['2 1/2 oz ', '1 splash ', 'Fill with ']",fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.
69 Special,"['Gin', '7-Up', 'Lemon juice']","['2 oz dry ', '4 oz ', '0.75 oz ']","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up."
747,"['Kahlua', ""Bailey's irish cream"", 'Frangelico']","['1/3 part ', '1/3 part ', '1/3 part ']","pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!"
9 1/2 Weeks,"['Absolut Citron', 'Orange Curacao', 'Strawberry liqueur', 'Orange juice']","['2 oz ', '1/2 oz ', '1 splash ', '1 oz ']",Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.
A Day at the Beach,"['Coconut rum', 'Amaretto', 'Orange juice', 'Grenadine']","['1 oz ', '1/2 oz ', '4 oz ', '1/2 oz ']","Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry."
A Furlong Too Late,"['Light rum', 'Ginger beer', 'Lemon peel']","['2 oz ', '4 oz ', '1 twist of ']",Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
A Gilligan's Island,"['Vodka', 'Peach schnapps', 'Orange juice', 'Cranberry juice']","['1 oz ', '1 oz ', '3 oz ', '3 oz ']","Shaken, not stirred!"
A Night In Old Mandalay,"['Light rum', 'Añejo rum', 'Orange juice', 'Lemon juice', 'Ginger ale', 'Lemon peel']","['1 oz ', '1 oz ', '1 oz ', '1/2 oz ', '3 oz ', '1 twist of ']","In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist."
